휴양림명,시도명,휴양림구분,휴양림면적,수용인원수,입장료,숙박가능여부,주요시설명,소재지도로명주소,관리기관명,휴양림전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
회문산자연휴양림,전라북도,국립,2890000,300,"어른 1,000원 청소년 600원 어린이 300원",Y,"숲속의 집, 산림문화 휴양관, 야영시설",전라북도 순창군 구림면 안심길 295,국립자연휴양림관리소,063-653-4779,http://www.huyang.go.kr/forest/contentIntro.action?dprtmId=0188,35.499128,127.118039,2017-05-22,4770000,전라북도 순창군
박달재자연휴양림,충청북도,공유림,1700000,2000,무,Y,"숲속의집, 산책로등",충청북도 제천시 백운면 금봉로228,충청북도 제천시청,043-652-0910,htt://baf.cbhuyang.go.kr,37.1470638614,128.0457749014,2019-12-09,4400000,충청북도 제천시
무주자연휴양림,전라북도,공유림,31110,300,없음,Y,"통나무집,목교,평상,평의자",전라북도 무주군 무설로 1324,전라북도 무주군청 시설사업소,063-320-5666,http://tour.muju.go.kr/bandiland,36.0111132,127.758702,2019-11-25,4740000,전라북도 무주군
가리산자연휴양림,강원도,공유림,3050000,234,"어른 : 1인*1일(2,000원)청소년 : 1인*1일(1,500원)어린이 : 1인*1일(1,000원)다자녀 가정 : 면제",Y,"관리동사무소 1동, 매표소 1동방갈로 10동(2.5평형) 산림문화휴양관 1동(9실)풋살장 1면다목적 광장 1개소매점(휴게소) 1동  화장실 7동공동취사장 1개소 주차장 1개소(95면)샤워장 1개소 야영데크 38면(28/8㎡,10/13㎡)",강원도 홍천군 두촌면 가리산길 426,홍천군,033-435-6035,https://garisan.foresttrip.go.kr,37.865235,127.9824687,2019-11-20,4250000,강원도 홍천군
천보산자연휴양림,경기도,공유림,1165686,156,2000,Y,"숲속의집, 산림휴양관, 세미나실",경기도 포천시 원동교길 309,포천시 산림과,031-538-3555,http://chunbosan.foresttrip.go.kr,37.855622,127.120503,2019-11-19,5600000,경기도 포천시
운악산자연휴양림,경기도,국유림,150000,200,1000,Y,"숲속수련장, 운현정, 연립동",경기도 포천시 화현면 화동로 184,국립자연휴양림관리소,031-534-6330,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0224,37.884395,127.302771,2019-11-19,5600000,경기도 포천시
고산자연휴양림,전라북도,공유림,6720000,5000,2000,Y,"숲속의집, 휴양관, 돔하우스, 에코어드벤처",전라북도 완주군 고산면 고산휴양림로 246,완주군청,063-263-8680,https://rest.wanju.go.kr,35.9596666,127.2355162,2019-10-25,4720000,전라북도 완주군
만인산자연휴양림,대전광역시,공유림,1850000,5000,무료,Y,"숲속교실,야외무대,목공체험장",대전광역시 동구 산내로 106,대전광역시 공원관리사업소,042-270-8655,http://www.daejeon.go.kr/par/index.do,36.2021806,127.453456,2019-10-08,6300000,대전광역시
장태산자연휴양림,대전광역시,공유림,820000,6000,무료,Y,"생태연못,교과서식물원,산림문화휴양관",대전광역시 서구 장안로 461,대전광역시 공원관리사업소,042-270-7883,http://www.jangtaesan.or.kr/,36.216271,127.340123,2019-10-08,6300000,대전광역시
동강전망자연휴양림,강원도,공유림,448966,200,없음,Y,동강전망자연휴양림 오토캠핑장,강원도 정선군 신동읍 동강로 916-212,강원도 정선군 시설관리공단,033-560-3464,www.jsimc.or.kr,37.25962308,128.6078991,2019-06-30,4290000,강원도 정선군
팔영산자연휴양림,전라남도,공유림,1870000,250,없음,Y,"숲속의집 12동, 산림문화휴양관 1동",전라남도 고흥군 영남면 팔영로 1347-418,고흥군청,061-830-5386,www.singihan.goheung.go.kr,34.621596,127.440247,2019-09-25,4880000,전라남도 고흥군
생거진천자연휴양림,충청북도,공유림,520000,129,0원,Y,"산림문화휴양관, 숲속의집6동, 연립동, 야영센터, 관리사무소",충청북도 진천군 백곡면 명암길 435-135,진천군청 산림축산과,043-539-3552,http://rest.jincheon.go.kr,36.9252031,127.389482,2019-06-17,4450000,충청북도 진천군
강화군 석모도자연휴양림,인천광역시,공유림,1283632,208,개인일반1000원+청소년군인800원+어린이500원+단체일반 800원+청소년군인600원+어린이300원,Y,"숲속의 집, 산림문화휴양관, 족구장 등",인천광역시 강화군 삼산면 삼산서로 39-75,석모도자연휴양림관리사업소,032-932-1100,forest.ganghwa.go.kr,37.6995209,126.315045,2019-09-20,3570000,인천광역시 강화군
강화군 티앤림 자연휴양림,인천광역시,사유림,320941,40,현재무료+이용료+집라인38000원+어드벤쳐22000원+패키지50000,Y,"숲속의집, 집라인, 어드벤쳐",인천광역시 강화군 불은면 중앙로 546-34,기전산업,032-937-7481,www.tianlim.co.kr,37.711993,126.453839,2019-09-20,3570000,인천광역시 강화군
거제자연휴양림,경상남도,공유림,329490,285,1000,Y,숲속의집/ 산림문화휴양관,경상남도 거제시 동부면 거제중앙로 325,경상남도 거제시청,055-639-8332,http://www.geojehuyang.or.kr,34.7836091,128.6260491,2019-07-30,5370000,경상남도 거제시
송이밸리자연휴양림,강원도,공유림,43.66,100,없음,Y,송이밸리자연휴양림,강원도 양양군 양양읍 고노동길 98-50,강원도 양양군청,033-670-2644,www.songivalley.co.kr,38.053084,128.621034,2019-06-30,4350000,강원도 양양군
